DAY & DATE,TIME,LEVEL ,COURSE CODE, COURSE TITLE,NO. OF STDS,SEATS,VENUE,FACULTY,DEPARTMENT ,INVIG,,,,,,
"Thursday, April 9, 2026",10:00 -12:00,300 PHS,PHS 354M,MEDICAL SOCIOLOGY,1200,201-300,NLB 3,FEHE,PHE, ,,,,,,
"Thursday, April 9, 2026",10:00 -12:00,300 PHS,PHS 354M,MEDICAL SOCIOLOGY,1200,301-400,NLB 4,FEHE,PHE, ,,,,,,
"Thursday, April 9, 2026",10:00 -12:00,300 PHS,PHS 354M,MEDICAL SOCIOLOGY,1200,401-500,,FEHE,PHE,,,,,,,
"Thursday, April 9, 2026",10:00 -12:00,300 PHS,PHS 354M,MEDICAL SOCIOLOGY,1200,501-600,CHAPEL,FEHE,PHE,, ,,,,,
"Thursday, April 9, 2026",10:00 -12:00,300 PHS,PHS 354M,MEDICAL SOCIOLOGY,1200,601-700,OLD LIB,FEHE,PHE,, ,,,,,
"Thursday, April 9, 2026",10:00 -12:00,300 PHS,PHS 354M,MEDICAL SOCIOLOGY,1200,701-800,LBFF,FEHE,PHE,,,,,,,
"Thursday, April 9, 2026",10:00 -12:00,300 PHS,PHS 354M,MEDICAL SOCIOLOGY,1200,801-950,LBSF,FEHE,PHE,,,,,,,
"Thursday, April 9, 2026",10:00 -12:00,300 PHS,PHS 354M,MEDICAL SOCIOLOGY,1200,,NLT,FEHE,PHE,,,,,,,
"Thursday, April 9, 2026",10:00 -12:00,300 PHS,PHS 354M,MEDICAL SOCIOLOGY,1200,951-1150,SPT COM,FEHE,PHE,,, ,,,,
"Thursday, April 9, 2026",10:00 -12:00,300 PHS,PHS 354M,MEDICAL SOCIOLOGY,1200,1151-END,GYM,FEHE,PHE,,,,,,,
"Thursday, April 9, 2026",13:00 -15:00,100PHS ,PHS 115,FRENCH FOR PUBLIC HEALTH PROFESSIONALS, ,DC 001-100,OLD LIB,FEHE,PHE,, ,,,,,
"Thursday, April 9, 2026",13:00 -15:00,100PHS ,PHS 115,FRENCH FOR PUBLIC HEALTH PROFESSIONALS,,101 - END,EXT 1,FEHE,PHE, , ,,,,,
"Thursday, April 9, 2026",13:00 -15:00,100PHS ,PHS 115,FRENCH FOR PUBLIC HEALTH PROFESSIONALS,,N 001-100,CHAPEL ,FEHE,PHE,,,,,,,
"Thursday, April 9, 2026",13:00 -15:00,100PHS ,PHS 115,FRENCH FOR PUBLIC HEALTH PROFESSIONALS,,DC 101-END,EXT II,FEHE,PHE, ,,,,,,
"Thursday, April 9, 2026",13:00 -15:00,100PHS ,PHS 115,FRENCH FOR PUBLIC HEALTH PROFESSIONALS,,N 101-END,EXT II,FEHE,PHE, ,,,,,,
"Thursday, April 9, 2026",13:00 -15:00,100PHS ,PHS 115,FRENCH FOR PUBLIC HEALTH PROFESSIONALS,,HP 001-END,NLT,FEHE,PHE,,,,,,,
"Thursday, April 9, 2026",13:00 -15:00,100 OHS,PHS 115,FRENCH FOR PUBLIC HEALTH PROFESSIONALS, ,001-100,SPTS COM,FEHE,PHE,,,,  ,,,
"Thursday, April 9, 2026",13:00 -15:00,100 OHS,PHS 115,FRENCH FOR PUBLIC HEALTH PROFESSIONALS,,101-200,Old LAB,FEHE,PHE,, ,,,,,
"Thursday, April 9, 2026",13:00 -15:00,100 OHS,PHS 115,FRENCH FOR PUBLIC HEALTH PROFESSIONALS,,201-END,GYM,FEHE,PHE,,,,,,,
"Thursday, April 9, 2026",13:00 -15:00,100 EHS,EHP 114,FRENCH , ,001-080,LBA,FEHE,DEHSE,,,,,,,
"Thursday, April 9, 2026",13:00 -15:00,100 EHS,EHP 114,FRENCH ,,081 -END,LGF1,FEHE,DEHSE,,,,,,,
"Thursday, April 9, 2026",16:00 -18:00,300 OHS,PHS 115,PROJECT MANAGEMENT &PROCUREMENT,70,001-END,OLD LAB,FEHE,PHE,,, ,,,,
"Friday,  April 10, 2026",07:00-09:00,100EHS,EHP 112,INTRODUCTION TO ENVIRONMENTAL  HEALTH AND SANITATION,130,001-END,SPTS COM,FEHE,DEHSE,,,,,,,
"Friday,  April 10, 2026",07:00-09:00,300 OHS,OHS 352,HUMAN RESOURCE &ORGANIZATIONAL MGT,70,001-END,OLD LAB,FEHE,PHE,,,,,,,
"Friday,  April 10, 2026",07:00-09:00,400 OHS,OHS 473,OIL AND GAS INDUSTRY SAFETY,45,001-END,SLT HSE 1,FEHE,PHE,,,,,,,
"Friday,  April 10, 2026",07:00-09:00,400OHS,OHS 477,CONSTRUCTION SAFETY,45,001-END,SLT HSE 1,FEHE,PHE,,,,,,,
"Friday,  April 10, 2026",10:00 -12:00,100OHS,OHS 113,INTRODUCTION TO OCCUPATIONAL HEALTH,298,001-140,SPTS COM,FEHE,PHE,,,,,,,
"Friday,  April 10, 2026",10:00 -12:00,100OHS,OHS 113,INTRODUCTION TO OCCUPATIONAL HEALTH,298,141-190,GYM,FEHE,PHE,,,,,,,
"Friday,  April 10, 2026",10:00 -12:00,100OHS,OHS 113,INTRODUCTION TO OCCUPATIONAL HEALTH,298,191-END,OLD LAB,FEHE,PHE,,,,,,,
"Friday,  April 10, 2026",13:00 -15:00,200 EHS,EHP 234,STATS AND BIOMETRY,240,001-140,SPTS COM,FEHE,DEHSE,,,,,,,
"Friday,  April 10, 2026",13:00 -15:00,200 EHS,EHP 234,STATS AND BIOMETRY,240,141-END,OLD LAB,FEHE,DEHSE,,,,,,,
"Friday,  April 10, 2026",13:00 -15:00,300EHS,EHP 352,"WASTEWATER TREATMENT, REUSE AND DISPOSAL",129,001 – 080,SLT HSE  2,FEHE,DEHSE,,,,,,,
"Friday,  April 10, 2026",13:00 -15:00,300EHS,EHP 352,"WASTEWATER TREATMENT, REUSE AND DISPOSAL",129,081 - EN,SLT HSE 1,FEHE,DEHSE,,,,,,,
"Friday,  April 10, 2026",16:00 -18:00,200 OHS,OHS 236,CLIMATE CHANGE & PUBLIC HEALTH,298,001-140,SPTS COMP,FEHE,PHE,,,,,,,
"Friday,  April 10, 2026",16:00 -18:00,200 OHS,OHS 236,CLIMATE CHANGE & PUBLIC HEALTH,298,141-260,OLD LAB,FEHE,PHE,,,,,,,
"Friday,  April 10, 2026",16:00 -18:00,201 OHS,OHS 237,CLIMATE CHANGE & PUBLIC HEALTH,299,261-END,GYM,FEHE,PHE,,,,,,,
